date;Booksellers;Profit warnings;Oceans;Henrik Stenson;air travel;isPartial
2023-01-01;0;4;100;0;39;False
2023-01-02;8;3;77;0;46;False
2023-01-03;3;3;50;4;30;False
2023-01-04;0;0;61;0;46;False
2023-01-05;8;0;44;0;37;False
2023-01-06;0;0;65;0;38;False
2023-01-07;3;0;52;0;27;False
2023-01-08;0;0;42;0;43;False
2023-01-09;4;0;45;0;26;False
2023-01-10;4;3;55;0;41;False
2023-01-11;3;0;47;2;46;False
2023-01-12;3;0;55;0;38;False
2023-01-13;3;0;48;0;31;False
2023-01-14;0;0;39;0;29;False
2023-01-15;0;3;54;0;34;False
2023-01-16;0;0;49;0;35;False
2023-01-17;0;0;70;0;29;False
2023-01-18;0;0;69;0;41;False
2023-01-19;0;0;50;12;37;False
2023-01-20;0;4;56;0;30;False
2023-01-21;3;0;60;0;32;False
2023-01-22;0;0;54;0;36;False
2023-01-23;3;0;57;0;37;False
2023-01-24;6;0;53;0;28;False
2023-01-25;3;0;57;0;39;False
2023-01-26;5;0;51;0;35;False
2023-01-27;0;0;57;0;24;False
2023-01-28;0;0;48;0;34;False
2023-01-29;0;5;61;0;31;False
2023-01-30;0;0;58;0;51;False
2023-01-31;0;0;51;0;43;False
