date;Daisy Ridley;argos;Gray report;Boris Johnson;air travel;isPartial
2023-01-01;0;84;0;1;1;False
2023-01-02;0;100;0;1;1;False
2023-01-03;0;79;0;1;0;False
2023-01-04;0;73;0;1;1;False
2023-01-05;0;69;0;1;1;False
2023-01-06;0;77;0;1;1;False
2023-01-07;0;82;0;1;0;False
2023-01-08;0;77;0;1;1;False
2023-01-09;0;63;0;1;0;False
2023-01-10;0;63;0;2;1;False
2023-01-11;0;65;0;2;1;False
2023-01-12;0;62;0;3;1;False
2023-01-13;0;66;0;3;0;False
2023-01-14;0;76;0;1;0;False
2023-01-15;0;73;0;2;1;False
2023-01-16;0;60;0;1;1;False
2023-01-17;0;56;0;2;0;False
2023-01-18;0;59;0;1;1;False
2023-01-19;0;62;0;1;1;False
2023-01-20;0;64;0;1;0;False
2023-01-21;0;83;0;1;1;False
2023-01-22;0;69;0;4;1;False
2023-01-23;0;61;0;3;1;False
2023-01-24;0;58;0;2;0;False
2023-01-25;0;55;0;2;1;False
2023-01-26;0;56;0;1;1;False
2023-01-27;0;62;0;1;0;False
2023-01-28;0;67;0;3;1;False
2023-01-29;0;71;0;2;0;False
2023-01-30;0;56;0;3;1;False
2023-01-31;0;57;0;2;1;False
