date;david lammy;gloucestershire;Uefa;Fox News;air travel;isPartial
2023-01-01;0;61;16;26;15;False
2023-01-02;2;81;17;23;18;False
2023-01-03;2;86;18;30;12;False
2023-01-04;0;84;12;42;18;False
2023-01-05;3;90;17;43;14;False
2023-01-06;1;71;14;42;15;False
2023-01-07;0;66;15;33;11;False
2023-01-08;9;79;16;28;17;False
2023-01-09;5;78;19;26;10;False
2023-01-10;0;88;16;26;16;False
2023-01-11;0;78;11;26;18;False
2023-01-12;2;89;18;22;15;False
2023-01-13;0;61;17;22;12;False
2023-01-14;0;63;14;22;11;False
2023-01-15;6;61;16;23;13;False
2023-01-16;3;94;14;26;14;False
2023-01-17;0;94;13;18;11;False
2023-01-18;0;77;14;22;16;False
2023-01-19;0;82;17;30;14;False
2023-01-20;0;90;14;25;12;False
2023-01-21;0;69;16;23;12;False
2023-01-22;0;60;24;37;14;False
2023-01-23;1;80;18;28;14;False
2023-01-24;6;81;17;28;11;False
2023-01-25;3;82;19;25;15;False
2023-01-26;5;74;17;25;13;False
2023-01-27;4;75;21;26;9;False
2023-01-28;0;64;20;29;13;False
2023-01-29;2;72;18;23;12;False
2023-01-30;1;90;17;20;20;False
2023-01-31;3;100;24;33;17;False
