date;Burlesque;Street art;Sam Kerr;National Anti-Corruption Commission;air travel;isPartial
2023-01-01;41;19;7;0;74;False
2023-01-02;42;48;0;0;88;False
2023-01-03;41;38;23;0;57;False
2023-01-04;56;48;7;0;86;False
2023-01-05;36;48;8;0;71;False
2023-01-06;36;38;0;0;71;False
2023-01-07;55;33;0;0;52;False
2023-01-08;100;31;11;0;82;False
2023-01-09;75;38;15;0;48;False
2023-01-10;58;42;5;0;77;False
2023-01-11;44;50;6;0;87;False
2023-01-12;59;40;18;0;72;False
2023-01-13;51;46;9;0;58;False
2023-01-14;13;39;6;0;54;False
2023-01-15;47;42;40;0;64;False
2023-01-16;40;44;15;0;66;False
2023-01-17;58;37;14;0;54;False
2023-01-18;44;30;12;0;78;False
2023-01-19;48;50;0;0;71;False
2023-01-20;44;38;7;0;57;False
2023-01-21;56;58;19;0;61;False
2023-01-22;50;37;19;0;68;False
2023-01-23;50;44;0;0;70;False
2023-01-24;39;24;0;0;53;False
2023-01-25;46;27;0;0;73;False
2023-01-26;45;47;6;0;66;False
2023-01-27;38;49;8;0;46;False
2023-01-28;53;51;7;0;64;False
2023-01-29;59;35;20;0;59;False
2023-01-30;44;57;6;0;97;False
2023-01-31;48;41;14;0;81;False
