date;unemployment;History of art;Essex;Switzerland;air travel;isPartial
2023-01-01;1;1;67;27;3;False
2023-01-02;3;1;66;28;4;False
2023-01-03;3;1;74;28;3;False
2023-01-04;4;1;70;25;4;False
2023-01-05;4;1;67;26;3;False
2023-01-06;4;1;67;25;3;False
2023-01-07;2;1;63;22;2;False
2023-01-08;3;1;65;29;4;False
2023-01-09;4;1;77;24;2;False
2023-01-10;4;1;76;24;4;False
2023-01-11;4;1;74;26;4;False
2023-01-12;4;1;77;22;3;False
2023-01-13;5;1;69;22;3;False
2023-01-14;3;0;66;23;3;False
2023-01-15;3;1;89;24;3;False
2023-01-16;5;1;82;25;3;False
2023-01-17;5;1;76;23;2;False
2023-01-18;5;2;72;21;4;False
2023-01-19;4;1;76;21;3;False
2023-01-20;3;1;71;22;3;False
2023-01-21;2;1;67;21;3;False
2023-01-22;3;1;71;24;3;False
2023-01-23;5;1;77;23;3;False
2023-01-24;5;1;77;24;2;False
2023-01-25;4;1;73;25;3;False
2023-01-26;4;0;71;21;3;False
2023-01-27;4;1;76;22;2;False
2023-01-28;2;1;67;21;3;False
2023-01-29;3;1;100;24;3;False
2023-01-30;4;1;86;25;4;False
2023-01-31;4;1;80;23;4;False
