date;James Dyson;Insects;Bonnie and Clyde;renewable energy;air travel;isPartial
2023-01-01;8;53;34;43;55;False
2023-01-02;0;68;45;21;65;False
2023-01-03;7;51;21;57;42;False
2023-01-04;5;38;31;70;64;False
2023-01-05;18;57;23;67;52;False
2023-01-06;0;74;20;72;53;False
2023-01-07;0;45;24;26;38;False
2023-01-08;0;44;21;50;61;False
2023-01-09;5;58;24;69;36;False
2023-01-10;0;63;18;80;57;False
2023-01-11;17;47;25;82;64;False
2023-01-12;7;45;7;71;53;False
2023-01-13;9;58;8;58;43;False
2023-01-14;5;63;18;40;40;False
2023-01-15;0;62;22;45;47;False
2023-01-16;16;67;21;77;49;False
2023-01-17;6;55;13;83;40;False
2023-01-18;9;80;21;93;57;False
2023-01-19;70;53;23;78;52;False
2023-01-20;40;75;25;66;42;False
2023-01-21;6;57;23;45;45;False
2023-01-22;17;55;26;52;50;False
2023-01-23;10;60;16;89;52;False
2023-01-24;8;88;19;68;39;False
2023-01-25;10;62;28;82;54;False
2023-01-26;9;55;19;100;49;False
2023-01-27;8;74;16;58;34;False
2023-01-28;0;60;17;46;47;False
2023-01-29;4;85;29;36;43;False
2023-01-30;12;90;29;93;72;False
2023-01-31;0;69;19;88;60;False
