date;Alister Jack;sidney poitier;Australian politicians' expenses;Richard Branson;air travel;isPartial
2023-01-01;0;17;0;31;47;False
2023-01-02;0;5;0;21;55;False
2023-01-03;0;0;0;10;36;False
2023-01-04;0;0;0;20;54;False
2023-01-05;0;3;0;17;44;False
2023-01-06;0;6;0;35;45;False
2023-01-07;3;26;0;23;33;False
2023-01-08;0;7;0;77;52;False
2023-01-09;0;9;0;100;30;False
2023-01-10;0;3;0;88;48;False
2023-01-11;0;8;0;13;55;False
2023-01-12;9;0;0;28;45;False
2023-01-13;0;6;0;22;37;False
2023-01-14;0;14;0;16;34;False
2023-01-15;6;0;0;16;40;False
2023-01-16;7;0;0;23;42;False
2023-01-17;35;0;0;16;34;False
2023-01-18;12;0;0;18;49;False
2023-01-19;0;4;0;17;44;False
2023-01-20;8;4;0;18;36;False
2023-01-21;0;0;0;20;38;False
2023-01-22;0;4;0;26;43;False
2023-01-23;0;6;0;20;44;False
2023-01-24;0;0;0;5;34;False
2023-01-25;0;0;0;18;46;False
2023-01-26;0;0;0;17;41;False
2023-01-27;3;0;0;17;29;False
2023-01-28;3;6;0;9;40;False
2023-01-29;0;3;0;24;37;False
2023-01-30;0;0;0;26;61;False
2023-01-31;6;0;0;12;51;False
