date;sajid javid;church of england;metropolitan police;energy crisis;air travel;isPartial
2023-01-01;2;29;4;92;21;False
2023-01-02;2;33;8;100;25;False
2023-01-03;0;32;9;84;16;False
2023-01-04;0;30;7;65;25;False
2023-01-05;2;35;10;77;20;False
2023-01-06;3;27;5;73;20;False
2023-01-07;0;29;7;80;15;False
2023-01-08;3;34;6;91;24;False
2023-01-09;0;48;13;82;14;False
2023-01-10;2;38;6;71;22;False
2023-01-11;2;48;7;69;25;False
2023-01-12;4;34;7;73;21;False
2023-01-13;4;32;14;70;17;False
2023-01-14;0;32;7;94;16;False
2023-01-15;0;42;8;86;18;False
2023-01-16;2;41;23;73;19;False
2023-01-17;1;42;23;71;16;False
2023-01-18;3;63;17;72;22;False
2023-01-19;0;45;15;79;20;False
2023-01-20;2;56;12;73;16;False
2023-01-21;90;28;14;94;18;False
2023-01-22;54;33;5;95;20;False
2023-01-23;25;35;7;84;20;False
2023-01-24;10;43;15;77;15;False
2023-01-25;5;40;11;81;21;False
2023-01-26;2;34;10;64;19;False
2023-01-27;8;35;11;50;13;False
2023-01-28;3;31;9;69;18;False
2023-01-29;5;22;8;68;17;False
2023-01-30;0;38;10;76;28;False
2023-01-31;0;37;10;70;23;False
