date;spice girls;Income inequality;ian king business podcast;RMT;air travel;isPartial
2023-01-01;93;0;0;28;22;False
2023-01-02;19;0;0;50;26;False
2023-01-03;18;0;0;100;17;False
2023-01-04;13;3;0;58;26;False
2023-01-05;18;0;0;46;21;False
2023-01-06;18;0;0;47;21;False
2023-01-07;36;0;0;30;16;False
2023-01-08;23;0;0;26;25;False
2023-01-09;17;2;0;41;15;False
2023-01-10;21;2;0;25;23;False
2023-01-11;17;0;0;33;26;False
2023-01-12;29;0;0;28;22;False
2023-01-13;35;2;0;28;17;False
2023-01-14;26;2;0;16;16;False
2023-01-15;23;2;0;23;19;False
2023-01-16;18;3;0;29;20;False
2023-01-17;13;0;0;49;16;False
2023-01-18;13;2;0;42;23;False
2023-01-19;16;1;0;36;21;False
2023-01-20;23;4;0;28;17;False
2023-01-21;24;0;0;21;18;False
2023-01-22;16;0;0;16;20;False
2023-01-23;13;2;0;19;21;False
2023-01-24;16;3;0;26;16;False
2023-01-25;9;7;0;27;22;False
2023-01-26;13;0;0;23;20;False
2023-01-27;26;0;0;23;14;False
2023-01-28;22;3;0;10;19;False
2023-01-29;24;1;0;10;18;False
2023-01-30;28;1;0;29;29;False
2023-01-31;20;2;0;23;24;False
