date;Pandora papers;Oxbridge and elitism;European Space Agency;Carbon capture and storage (CCS);air travel;isPartial
2023-01-01;6;0;0;0;76;False
2023-01-02;0;0;12;6;90;False
2023-01-03;0;0;0;7;59;False
2023-01-04;0;0;5;0;89;False
2023-01-05;0;0;0;0;73;False
2023-01-06;0;0;7;0;73;False
2023-01-07;0;0;12;0;53;False
2023-01-08;6;0;0;0;84;False
2023-01-09;0;0;0;0;50;False
2023-01-10;0;0;5;7;79;False
2023-01-11;0;0;0;0;90;False
2023-01-12;0;0;0;0;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;0;0;6;0;56;False
2023-01-15;0;0;8;9;66;False
2023-01-16;0;0;10;0;68;False
2023-01-17;21;0;0;10;56;False
2023-01-18;0;0;0;0;80;False
2023-01-19;9;0;15;0;73;False
2023-01-20;0;0;0;16;59;False
2023-01-21;0;0;0;5;63;False
2023-01-22;9;0;0;0;70;False
2023-01-23;0;0;0;0;72;False
2023-01-24;0;0;0;0;55;False
2023-01-25;0;0;0;0;75;False
2023-01-26;0;0;0;0;68;False
2023-01-27;11;0;0;0;47;False
2023-01-28;8;0;13;0;66;False
2023-01-29;6;0;0;0;60;False
2023-01-30;9;0;0;8;100;False
2023-01-31;0;0;0;0;84;False
