date;Michael Apted;Uluru statement from the heart;Kemi Badenoch;Tate Modern;air travel;isPartial
2023-01-01;0;0;3;89;33;False
2023-01-02;0;0;3;98;39;False
2023-01-03;0;0;0;84;25;False
2023-01-04;0;4;3;74;38;False
2023-01-05;0;0;2;59;32;False
2023-01-06;0;0;0;64;32;False
2023-01-07;0;0;3;76;23;False
2023-01-08;0;0;4;78;37;False
2023-01-09;0;0;3;73;22;False
2023-01-10;0;4;4;82;34;False
2023-01-11;0;3;0;60;39;False
2023-01-12;5;0;2;74;32;False
2023-01-13;0;0;0;100;26;False
2023-01-14;0;0;4;100;24;False
2023-01-15;0;0;3;95;29;False
2023-01-16;0;0;6;73;30;False
2023-01-17;0;0;4;56;24;False
2023-01-18;8;0;4;67;35;False
2023-01-19;0;0;4;73;32;False
2023-01-20;0;0;3;74;26;False
2023-01-21;0;0;8;95;27;False
2023-01-22;0;0;4;79;30;False
2023-01-23;2;0;3;82;31;False
2023-01-24;0;0;0;78;24;False
2023-01-25;0;2;8;53;33;False
2023-01-26;0;0;5;65;29;False
2023-01-27;2;0;0;88;20;False
2023-01-28;6;0;0;87;29;False
2023-01-29;0;0;6;83;26;False
2023-01-30;0;0;2;72;43;False
2023-01-31;0;3;5;70;36;False
