date;Podcasting;Sheffield Wednesday;Geordie Greig;Leonard Cohen;air travel;isPartial
2023-01-01;0;11;0;1;2;False
2023-01-02;0;26;0;1;3;False
2023-01-03;0;8;0;1;2;False
2023-01-04;0;6;1;2;3;False
2023-01-05;0;7;0;1;2;False
2023-01-06;0;12;0;1;2;False
2023-01-07;0;100;0;1;2;False
2023-01-08;0;20;0;1;3;False
2023-01-09;0;9;0;0;2;False
2023-01-10;0;10;0;1;3;False
2023-01-11;0;7;0;1;3;False
2023-01-12;0;7;1;0;2;False
2023-01-13;0;8;1;0;2;False
2023-01-14;0;26;0;1;2;False
2023-01-15;0;10;0;1;2;False
2023-01-16;0;8;0;1;2;False
2023-01-17;0;8;0;1;2;False
2023-01-18;0;6;0;1;3;False
2023-01-19;1;7;0;0;2;False
2023-01-20;0;10;0;1;2;False
2023-01-21;0;31;0;1;2;False
2023-01-22;0;9;0;1;2;False
2023-01-23;0;8;0;1;2;False
2023-01-24;0;11;0;1;2;False
2023-01-25;0;7;0;0;2;False
2023-01-26;0;7;0;1;2;False
2023-01-27;0;10;0;0;2;False
2023-01-28;0;32;0;1;2;False
2023-01-29;0;11;0;0;2;False
2023-01-30;0;10;0;1;3;False
2023-01-31;0;14;0;1;3;False
