date;Tupac Shakur;israel;Talk shows;Consumer spending;air travel;isPartial
2023-01-01;0;57;2;0;12;False
2023-01-02;1;58;1;3;14;False
2023-01-03;1;61;2;0;9;False
2023-01-04;1;66;0;0;14;False
2023-01-05;3;53;3;0;11;False
2023-01-06;2;45;1;0;11;False
2023-01-07;1;48;0;0;8;False
2023-01-08;0;63;2;0;13;False
2023-01-09;2;61;0;1;8;False
2023-01-10;1;53;2;1;12;False
2023-01-11;2;61;2;3;14;False
2023-01-12;2;61;3;1;11;False
2023-01-13;1;50;4;3;9;False
2023-01-14;0;51;2;0;9;False
2023-01-15;3;58;2;1;10;False
2023-01-16;2;62;0;0;10;False
2023-01-17;0;57;1;2;9;False
2023-01-18;0;56;2;0;12;False
2023-01-19;3;50;4;2;11;False
2023-01-20;1;55;3;1;9;False
2023-01-21;2;49;2;0;10;False
2023-01-22;0;57;2;0;11;False
2023-01-23;1;69;1;0;11;False
2023-01-24;2;54;4;0;8;False
2023-01-25;1;47;3;0;12;False
2023-01-26;3;67;0;0;10;False
2023-01-27;2;76;3;1;7;False
2023-01-28;0;86;0;0;10;False
2023-01-29;4;100;1;0;9;False
2023-01-30;2;78;1;0;15;False
2023-01-31;1;68;2;0;13;False
