date;Tristram Hunt;Yevgeny Prigozhin;Capital punishment;Scandinavian food and drink;air travel;isPartial
2023-01-01;0;7;7;0;76;False
2023-01-02;0;0;12;0;90;False
2023-01-03;0;0;12;0;59;False
2023-01-04;0;0;8;0;89;False
2023-01-05;0;9;17;0;73;False
2023-01-06;0;8;22;0;73;False
2023-01-07;0;5;11;0;53;False
2023-01-08;0;8;0;0;84;False
2023-01-09;16;0;21;0;50;False
2023-01-10;0;6;11;0;79;False
2023-01-11;6;40;17;0;90;False
2023-01-12;0;10;27;0;75;False
2023-01-13;0;12;16;0;60;False
2023-01-14;0;0;5;0;56;False
2023-01-15;0;0;24;0;66;False
2023-01-16;0;8;26;0;68;False
2023-01-17;0;0;16;0;56;False
2023-01-18;0;13;15;0;80;False
2023-01-19;0;6;17;0;73;False
2023-01-20;10;0;16;0;59;False
2023-01-21;11;10;19;0;63;False
2023-01-22;0;0;21;0;70;False
2023-01-23;14;0;26;0;72;False
2023-01-24;15;14;11;0;55;False
2023-01-25;0;8;20;0;75;False
2023-01-26;0;8;19;0;68;False
2023-01-27;0;0;0;0;47;False
2023-01-28;0;8;11;0;66;False
2023-01-29;10;0;14;0;60;False
2023-01-30;0;0;11;0;100;False
2023-01-31;10;0;10;0;84;False
