date;Elizabeth McGovern;Schizophrenia;Laura Poitras;Detroit Lions;air travel;isPartial
2023-01-01;2;33;0;11;24;False
2023-01-02;2;32;3;8;29;False
2023-01-03;0;42;0;6;19;False
2023-01-04;2;39;0;7;28;False
2023-01-05;0;33;0;0;23;False
2023-01-06;2;45;0;6;23;False
2023-01-07;2;39;2;0;17;False
2023-01-08;2;37;2;13;27;False
2023-01-09;0;44;3;29;16;False
2023-01-10;0;52;0;3;25;False
2023-01-11;0;41;0;0;29;False
2023-01-12;0;52;0;6;24;False
2023-01-13;0;46;0;4;19;False
2023-01-14;0;40;0;6;18;False
2023-01-15;0;39;0;3;21;False
2023-01-16;0;55;2;0;22;False
2023-01-17;11;47;0;0;18;False
2023-01-18;8;51;0;2;26;False
2023-01-19;0;52;2;4;23;False
2023-01-20;0;45;3;2;19;False
2023-01-21;8;29;0;0;20;False
2023-01-22;3;36;0;0;22;False
2023-01-23;0;48;0;2;23;False
2023-01-24;2;46;0;0;18;False
2023-01-25;0;88;0;5;24;False
2023-01-26;1;100;8;2;22;False
2023-01-27;0;84;0;0;15;False
2023-01-28;0;57;0;3;21;False
2023-01-29;6;65;0;3;19;False
2023-01-30;7;57;0;3;32;False
2023-01-31;0;62;0;0;27;False
