date;jacob rees-mogg;Australia weather;Harry Potter;David Cameron;air travel;isPartial
2023-01-01;0;3;100;0;2;False
2023-01-02;0;3;82;1;3;False
2023-01-03;0;3;65;1;2;False
2023-01-04;0;2;62;0;3;False
2023-01-05;0;2;59;1;2;False
2023-01-06;0;2;60;1;2;False
2023-01-07;0;3;71;1;2;False
2023-01-08;0;3;79;1;3;False
2023-01-09;0;2;55;1;2;False
2023-01-10;0;2;55;1;3;False
2023-01-11;0;2;51;1;3;False
2023-01-12;0;2;55;1;2;False
2023-01-13;0;2;53;0;2;False
2023-01-14;0;3;67;0;2;False
2023-01-15;0;2;65;1;2;False
2023-01-16;0;2;47;1;2;False
2023-01-17;0;2;47;0;2;False
2023-01-18;0;3;45;1;3;False
2023-01-19;0;2;46;1;2;False
2023-01-20;0;2;53;1;2;False
2023-01-21;0;2;67;1;2;False
2023-01-22;0;2;67;1;2;False
2023-01-23;0;2;51;1;2;False
2023-01-24;0;3;48;1;2;False
2023-01-25;0;2;51;1;2;False
2023-01-26;0;1;51;1;2;False
2023-01-27;0;2;56;1;1;False
2023-01-28;0;2;70;1;2;False
2023-01-29;0;2;71;1;2;False
2023-01-30;0;2;55;1;3;False
2023-01-31;0;2;52;1;3;False
