date;Menopause;covid;Tutoring;Elon Musk;air travel;isPartial
2023-01-01;8;71;1;11;1;False
2023-01-02;9;91;1;8;1;False
2023-01-03;8;100;1;7;1;False
2023-01-04;8;98;1;5;1;False
2023-01-05;9;92;1;5;1;False
2023-01-06;8;77;1;6;1;False
2023-01-07;9;55;1;4;1;False
2023-01-08;9;62;1;7;1;False
2023-01-09;9;69;1;8;1;False
2023-01-10;8;57;1;8;1;False
2023-01-11;9;56;1;7;1;False
2023-01-12;9;57;1;7;1;False
2023-01-13;8;46;1;5;1;False
2023-01-14;8;47;1;4;1;False
2023-01-15;9;47;1;4;1;False
2023-01-16;8;50;1;4;1;False
2023-01-17;8;42;1;4;1;False
2023-01-18;8;42;1;4;1;False
2023-01-19;9;42;1;5;1;False
2023-01-20;8;40;1;5;1;False
2023-01-21;8;40;1;4;1;False
2023-01-22;9;39;1;5;1;False
2023-01-23;9;42;1;3;1;False
2023-01-24;17;42;2;4;1;False
2023-01-25;13;49;1;4;1;False
2023-01-26;10;47;1;4;1;False
2023-01-27;9;40;1;4;1;False
2023-01-28;9;37;1;5;1;False
2023-01-29;9;41;1;5;1;False
2023-01-30;10;50;1;5;2;False
2023-01-31;10;46;1;4;1;False
