date;John Darwin canoe disappearance;Lady Gaga;Michael Gove;Australian Open 2022;air travel;isPartial
2023-01-01;0;90;5;3;27;False
2023-01-02;0;73;5;7;32;False
2023-01-03;0;54;8;0;21;False
2023-01-04;0;50;8;0;32;False
2023-01-05;0;70;0;0;26;False
2023-01-06;0;72;3;3;26;False
2023-01-07;0;69;5;0;19;False
2023-01-08;0;74;3;3;30;False
2023-01-09;0;58;5;6;18;False
2023-01-10;0;65;7;0;28;False
2023-01-11;0;63;4;3;32;False
2023-01-12;0;63;7;7;27;False
2023-01-13;0;77;6;13;21;False
2023-01-14;0;94;5;17;20;False
2023-01-15;0;77;10;23;24;False
2023-01-16;0;58;5;37;24;False
2023-01-17;0;50;0;32;20;False
2023-01-18;0;57;2;34;29;False
2023-01-19;0;65;22;34;26;False
2023-01-20;0;75;14;27;21;False
2023-01-21;0;100;7;34;23;False
2023-01-22;0;73;5;22;25;False
2023-01-23;0;77;4;15;26;False
2023-01-24;0;62;5;15;20;False
2023-01-25;0;68;5;8;27;False
2023-01-26;0;57;8;6;24;False
2023-01-27;0;56;8;7;17;False
2023-01-28;0;73;4;15;24;False
2023-01-29;0;73;53;21;22;False
2023-01-30;0;54;37;3;36;False
2023-01-31;0;48;23;0;30;False
