date;Solicitors;Hacking;Momentum;Len Blavatnik;air travel;isPartial
2023-01-01;19;5;5;0;5;False
2023-01-02;37;5;5;0;6;False
2023-01-03;89;5;6;0;4;False
2023-01-04;87;5;6;0;6;False
2023-01-05;89;7;9;1;5;False
2023-01-06;80;5;7;0;5;False
2023-01-07;30;5;7;0;4;False
2023-01-08;35;5;7;0;6;False
2023-01-09;100;7;6;0;3;False
2023-01-10;86;7;9;0;6;False
2023-01-11;90;6;8;0;6;False
2023-01-12;87;5;8;0;5;False
2023-01-13;76;5;8;0;4;False
2023-01-14;36;4;7;0;4;False
2023-01-15;31;5;6;0;5;False
2023-01-16;97;6;8;1;5;False
2023-01-17;97;6;9;1;4;False
2023-01-18;89;7;7;0;6;False
2023-01-19;92;6;8;0;5;False
2023-01-20;77;5;6;0;4;False
2023-01-21;32;6;5;0;4;False
2023-01-22;33;5;7;0;5;False
2023-01-23;100;5;7;1;5;False
2023-01-24;99;7;8;0;4;False
2023-01-25;90;5;9;1;5;False
2023-01-26;88;6;6;0;5;False
2023-01-27;86;6;5;0;3;False
2023-01-28;32;3;3;0;5;False
2023-01-29;34;6;7;0;4;False
2023-01-30;95;6;7;1;7;False
2023-01-31;92;6;7;1;6;False
