date;Lidia Thorpe;Laura Kuenssberg;Mo Farah;extinction rebellion;air travel;isPartial
2023-01-01;0;9;41;15;30;False
2023-01-02;0;3;30;23;36;False
2023-01-03;0;0;17;0;23;False
2023-01-04;0;11;14;0;35;False
2023-01-05;0;7;10;3;29;False
2023-01-06;0;13;8;10;29;False
2023-01-07;0;14;14;2;21;False
2023-01-08;0;100;6;0;34;False
2023-01-09;0;11;9;0;20;False
2023-01-10;0;17;3;4;31;False
2023-01-11;0;21;6;4;36;False
2023-01-12;0;6;7;5;30;False
2023-01-13;0;5;4;0;24;False
2023-01-14;0;8;5;0;22;False
2023-01-15;0;66;6;0;26;False
2023-01-16;2;5;8;6;27;False
2023-01-17;2;7;7;8;22;False
2023-01-18;0;3;3;9;32;False
2023-01-19;0;2;7;7;29;False
2023-01-20;0;4;13;2;23;False
2023-01-21;0;5;16;0;25;False
2023-01-22;0;74;4;7;28;False
2023-01-23;0;9;8;8;29;False
2023-01-24;0;2;9;5;22;False
2023-01-25;0;3;5;5;30;False
2023-01-26;0;3;11;8;27;False
2023-01-27;0;0;10;4;19;False
2023-01-28;0;7;4;13;26;False
2023-01-29;0;50;4;4;24;False
2023-01-30;0;6;0;5;40;False
2023-01-31;0;6;20;8;33;False
