date;Daniil Medvedev;Clubbing;Physiotherapists;Chinese food and drink;air travel;isPartial
2023-01-01;11;58;10;6;76;False
2023-01-02;0;38;10;0;90;False
2023-01-03;0;47;12;0;59;False
2023-01-04;0;36;21;0;89;False
2023-01-05;0;29;19;0;73;False
2023-01-06;20;31;19;8;73;False
2023-01-07;28;56;6;12;53;False
2023-01-08;5;32;10;0;84;False
2023-01-09;0;37;13;0;50;False
2023-01-10;0;24;9;0;79;False
2023-01-11;0;55;0;0;90;False
2023-01-12;6;50;11;0;75;False
2023-01-13;0;43;0;0;60;False
2023-01-14;0;51;7;0;56;False
2023-01-15;0;46;5;0;66;False
2023-01-16;13;49;17;0;68;False
2023-01-17;6;53;24;0;56;False
2023-01-18;22;44;20;9;80;False
2023-01-19;5;57;17;0;73;False
2023-01-20;62;45;0;0;59;False
2023-01-21;11;48;15;0;63;False
2023-01-22;0;62;5;0;70;False
2023-01-23;9;74;8;0;72;False
2023-01-24;6;46;15;0;55;False
2023-01-25;7;44;13;0;75;False
2023-01-26;0;55;51;7;68;False
2023-01-27;7;44;12;0;47;False
2023-01-28;0;57;0;7;66;False
2023-01-29;0;29;16;0;60;False
2023-01-30;0;68;23;0;100;False
2023-01-31;0;64;24;0;84;False
