date;marks and spencer;Chess;Annuities;Mulholland Drive;air travel;isPartial
2023-01-01;97;32;0;1;2;False
2023-01-02;100;29;0;1;2;False
2023-01-03;66;27;0;1;2;False
2023-01-04;61;29;0;1;2;False
2023-01-05;61;30;0;0;2;False
2023-01-06;57;34;0;1;2;False
2023-01-07;61;29;0;0;1;False
2023-01-08;65;30;0;1;2;False
2023-01-09;53;30;0;0;1;False
2023-01-10;57;29;0;0;2;False
2023-01-11;52;31;0;0;2;False
2023-01-12;59;34;0;0;2;False
2023-01-13;58;33;0;1;2;False
2023-01-14;62;29;0;0;1;False
2023-01-15;61;30;0;0;2;False
2023-01-16;60;33;1;0;2;False
2023-01-17;54;34;0;0;1;False
2023-01-18;55;34;0;0;2;False
2023-01-19;58;33;1;0;2;False
2023-01-20;56;38;0;1;2;False
2023-01-21;65;36;0;1;2;False
2023-01-22;64;32;0;0;2;False
2023-01-23;54;35;0;0;2;False
2023-01-24;54;38;0;0;1;False
2023-01-25;51;37;1;0;2;False
2023-01-26;50;46;0;0;2;False
2023-01-27;49;45;1;0;1;False
2023-01-28;56;39;0;0;2;False
2023-01-29;59;37;0;0;2;False
2023-01-30;52;38;0;0;3;False
2023-01-31;53;40;0;0;2;False
