date;mark zuckerberg;Cop28;Anglicanism;Portsmouth;air travel;isPartial
2023-01-01;2;0;0;51;2;False
2023-01-02;1;0;0;46;2;False
2023-01-03;1;0;0;49;2;False
2023-01-04;1;1;0;44;2;False
2023-01-05;1;0;0;44;2;False
2023-01-06;1;0;0;49;2;False
2023-01-07;1;0;0;100;1;False
2023-01-08;1;0;0;46;2;False
2023-01-09;1;0;0;42;1;False
2023-01-10;1;0;0;49;2;False
2023-01-11;0;0;0;44;2;False
2023-01-12;0;0;0;46;2;False
2023-01-13;0;0;0;39;2;False
2023-01-14;1;0;0;48;2;False
2023-01-15;1;0;0;39;2;False
2023-01-16;1;0;0;43;2;False
2023-01-17;0;0;0;42;2;False
2023-01-18;0;0;0;42;2;False
2023-01-19;1;0;0;45;2;False
2023-01-20;1;0;0;47;2;False
2023-01-21;0;0;0;56;2;False
2023-01-22;1;0;0;39;2;False
2023-01-23;1;0;0;41;2;False
2023-01-24;1;0;0;49;1;False
2023-01-25;2;0;0;41;2;False
2023-01-26;1;0;0;36;2;False
2023-01-27;0;0;0;42;1;False
2023-01-28;1;0;0;47;2;False
2023-01-29;1;0;0;40;2;False
2023-01-30;1;0;0;43;3;False
2023-01-31;1;0;0;44;2;False
