date;easyJet;John Akomfrah;Research and development;islamic state;air travel;isPartial
2023-01-01;89;0;0;0;3;False
2023-01-02;99;0;0;1;3;False
2023-01-03;100;0;1;0;2;False
2023-01-04;97;0;1;0;3;False
2023-01-05;90;0;1;0;3;False
2023-01-06;92;0;1;1;3;False
2023-01-07;87;0;0;0;2;False
2023-01-08;100;0;0;0;3;False
2023-01-09;95;1;1;0;2;False
2023-01-10;100;0;1;0;3;False
2023-01-11;86;0;1;0;3;False
2023-01-12;86;0;1;0;3;False
2023-01-13;76;1;1;0;2;False
2023-01-14;78;0;1;0;2;False
2023-01-15;92;0;1;0;3;False
2023-01-16;93;0;1;0;3;False
2023-01-17;85;0;1;0;2;False
2023-01-18;82;0;1;0;3;False
2023-01-19;80;0;1;0;3;False
2023-01-20;82;0;1;0;2;False
2023-01-21;82;0;1;0;2;False
2023-01-22;98;0;0;0;3;False
2023-01-23;83;0;0;0;3;False
2023-01-24;84;1;1;0;2;False
2023-01-25;85;0;1;0;3;False
2023-01-26;78;0;1;0;3;False
2023-01-27;77;0;1;1;2;False
2023-01-28;82;0;0;1;3;False
2023-01-29;89;0;1;0;2;False
2023-01-30;89;0;1;0;4;False
2023-01-31;86;0;1;0;3;False
