date;kansas;Law;Prevent strategy;Aid;air travel;isPartial
2023-01-01;4;52;0;22;2;False
2023-01-02;2;61;0;24;3;False
2023-01-03;2;75;0;28;2;False
2023-01-04;2;81;0;30;3;False
2023-01-05;1;84;0;29;2;False
2023-01-06;2;77;0;27;2;False
2023-01-07;3;57;0;32;2;False
2023-01-08;2;69;0;27;2;False
2023-01-09;2;89;1;28;1;False
2023-01-10;2;92;1;30;2;False
2023-01-11;2;87;0;30;3;False
2023-01-12;2;94;0;31;2;False
2023-01-13;2;81;0;28;2;False
2023-01-14;2;60;1;21;2;False
2023-01-15;3;71;0;22;2;False
2023-01-16;2;100;0;31;2;False
2023-01-17;2;91;0;27;2;False
2023-01-18;2;95;0;30;2;False
2023-01-19;2;88;0;30;2;False
2023-01-20;2;85;0;29;2;False
2023-01-21;6;63;0;22;2;False
2023-01-22;8;60;0;22;2;False
2023-01-23;3;93;0;29;2;False
2023-01-24;3;96;0;30;2;False
2023-01-25;2;94;0;29;2;False
2023-01-26;2;86;0;27;2;False
2023-01-27;2;78;0;27;1;False
2023-01-28;2;61;0;24;2;False
2023-01-29;6;64;0;21;2;False
2023-01-30;9;91;0;31;3;False
2023-01-31;4;92;0;31;2;False
