date;Rewilding;whatsapp;Seattle Seahawks;Queen Camilla;air travel;isPartial
2023-01-01;1;89;1;1;3;False
2023-01-02;0;84;1;0;3;False
2023-01-03;0;90;1;0;2;False
2023-01-04;0;90;1;0;3;False
2023-01-05;1;90;0;0;3;False
2023-01-06;1;86;0;1;3;False
2023-01-07;1;74;1;1;2;False
2023-01-08;2;83;1;1;3;False
2023-01-09;1;90;1;1;2;False
2023-01-10;1;93;1;1;3;False
2023-01-11;1;94;0;1;3;False
2023-01-12;0;100;0;1;3;False
2023-01-13;0;88;1;0;2;False
2023-01-14;1;73;2;1;2;False
2023-01-15;0;76;1;0;2;False
2023-01-16;0;91;0;0;2;False
2023-01-17;1;88;0;0;2;False
2023-01-18;1;89;0;0;3;False
2023-01-19;1;89;0;1;3;False
2023-01-20;1;89;0;1;2;False
2023-01-21;0;80;0;1;2;False
2023-01-22;1;79;0;1;2;False
2023-01-23;0;90;0;1;3;False
2023-01-24;1;95;1;0;2;False
2023-01-25;1;90;0;1;3;False
2023-01-26;1;86;0;0;2;False
2023-01-27;1;86;0;0;2;False
2023-01-28;1;72;0;0;2;False
2023-01-29;0;75;0;0;2;False
2023-01-30;1;94;0;0;4;False
2023-01-31;1;98;0;1;3;False
