date;keir starmer;Unesco;Pets;Las Vegas;air travel;isPartial
2023-01-01;1;0;93;23;3;False
2023-01-02;1;1;100;19;3;False
2023-01-03;1;1;85;19;2;False
2023-01-04;1;2;75;19;3;False
2023-01-05;10;1;74;16;3;False
2023-01-06;4;1;79;27;3;False
2023-01-07;3;1;85;26;2;False
2023-01-08;3;1;86;29;3;False
2023-01-09;2;1;77;17;2;False
2023-01-10;3;1;72;18;3;False
2023-01-11;2;1;70;17;3;False
2023-01-12;3;1;71;17;3;False
2023-01-13;2;1;73;20;2;False
2023-01-14;2;1;89;21;2;False
2023-01-15;7;1;85;23;3;False
2023-01-16;7;1;73;17;3;False
2023-01-17;4;1;67;18;2;False
2023-01-18;8;2;71;17;3;False
2023-01-19;3;1;69;15;3;False
2023-01-20;8;1;80;17;2;False
2023-01-21;5;1;88;20;2;False
2023-01-22;2;2;85;21;3;False
2023-01-23;3;1;75;17;3;False
2023-01-24;2;1;74;16;2;False
2023-01-25;3;1;70;15;3;False
2023-01-26;1;1;68;17;3;False
2023-01-27;4;1;75;15;2;False
2023-01-28;4;1;82;19;3;False
2023-01-29;5;1;80;24;2;False
2023-01-30;2;1;77;17;4;False
2023-01-31;2;2;73;17;3;False
