date;Wales;Jaguar Land Rover;Construction industry;Middlesex;air travel;isPartial
2023-01-01;67;0;0;2;2;False
2023-01-02;72;1;0;3;2;False
2023-01-03;77;1;1;4;1;False
2023-01-04;78;1;1;3;2;False
2023-01-05;74;1;1;3;2;False
2023-01-06;72;1;1;3;2;False
2023-01-07;69;1;1;2;1;False
2023-01-08;75;1;0;3;2;False
2023-01-09;85;1;1;4;1;False
2023-01-10;80;2;1;5;2;False
2023-01-11;83;2;1;5;2;False
2023-01-12;100;1;0;3;2;False
2023-01-13;76;1;1;4;1;False
2023-01-14;72;1;0;3;1;False
2023-01-15;75;1;0;3;1;False
2023-01-16;85;1;0;4;1;False
2023-01-17;88;1;1;4;1;False
2023-01-18;87;1;1;4;2;False
2023-01-19;82;1;0;4;2;False
2023-01-20;76;1;1;4;1;False
2023-01-21;72;1;0;3;1;False
2023-01-22;69;1;0;3;1;False
2023-01-23;84;1;1;5;2;False
2023-01-24;78;1;0;4;1;False
2023-01-25;77;1;0;4;2;False
2023-01-26;76;1;0;4;1;False
2023-01-27;71;1;1;4;1;False
2023-01-28;67;1;0;3;1;False
2023-01-29;77;1;0;3;1;False
2023-01-30;84;1;1;4;2;False
2023-01-31;87;1;1;4;2;False
