date;Paul Dano;Erasure;Cosmetic surgery;South Australian politics;air travel;isPartial
2023-01-01;20;62;29;0;76;False
2023-01-02;0;8;37;0;90;False
2023-01-03;24;23;25;0;59;False
2023-01-04;11;16;23;0;89;False
2023-01-05;12;21;21;0;73;False
2023-01-06;11;29;36;0;73;False
2023-01-07;20;34;31;0;53;False
2023-01-08;21;44;42;0;84;False
2023-01-09;11;13;35;0;50;False
2023-01-10;18;22;31;0;79;False
2023-01-11;26;12;17;0;90;False
2023-01-12;32;14;6;0;75;False
2023-01-13;26;18;18;0;60;False
2023-01-14;22;22;32;0;56;False
2023-01-15;24;10;37;0;66;False
2023-01-16;20;28;37;0;68;False
2023-01-17;10;13;29;0;56;False
2023-01-18;24;15;42;0;80;False
2023-01-19;22;14;36;0;73;False
2023-01-20;6;43;26;0;59;False
2023-01-21;18;36;49;0;63;False
2023-01-22;0;33;42;0;70;False
2023-01-23;0;23;22;0;72;False
2023-01-24;17;19;24;0;55;False
2023-01-25;31;35;28;0;75;False
2023-01-26;38;5;39;0;68;False
2023-01-27;17;26;25;0;47;False
2023-01-28;45;18;37;0;66;False
2023-01-29;15;0;26;0;60;False
2023-01-30;13;16;28;0;100;False
2023-01-31;15;7;31;0;84;False
