date;Department for Education;Margate holidays;New York City FC;wisconsin;air travel;isPartial
2023-01-01;0;10;7;61;76;False
2023-01-02;8;0;0;37;90;False
2023-01-03;27;7;6;44;59;False
2023-01-04;15;0;0;30;89;False
2023-01-05;0;0;0;35;73;False
2023-01-06;7;7;0;71;73;False
2023-01-07;5;0;0;45;53;False
2023-01-08;10;9;6;49;84;False
2023-01-09;16;0;0;46;50;False
2023-01-10;12;0;0;52;79;False
2023-01-11;6;0;0;37;90;False
2023-01-12;19;0;7;40;75;False
2023-01-13;21;0;0;35;60;False
2023-01-14;0;0;0;46;56;False
2023-01-15;8;0;0;50;66;False
2023-01-16;13;0;0;43;68;False
2023-01-17;18;0;20;20;56;False
2023-01-18;21;0;0;54;80;False
2023-01-19;10;0;0;53;73;False
2023-01-20;19;0;0;55;59;False
2023-01-21;0;11;0;63;63;False
2023-01-22;13;0;0;51;70;False
2023-01-23;22;0;0;54;72;False
2023-01-24;24;0;0;61;55;False
2023-01-25;17;0;0;55;75;False
2023-01-26;7;0;0;60;68;False
2023-01-27;13;0;22;55;47;False
2023-01-28;17;0;0;48;66;False
2023-01-29;0;0;0;39;60;False
2023-01-30;16;0;10;44;100;False
2023-01-31;13;0;0;38;84;False
