date;united nations;Derbyshire;harry styles;Wolfsburg;air travel;isPartial
2023-01-01;3;70;67;3;10;False
2023-01-02;3;66;51;1;11;False
2023-01-03;7;89;40;2;7;False
2023-01-04;7;80;56;0;11;False
2023-01-05;5;90;47;1;9;False
2023-01-06;4;90;46;4;9;False
2023-01-07;3;60;53;2;7;False
2023-01-08;11;68;58;0;11;False
2023-01-09;9;76;41;2;6;False
2023-01-10;6;85;49;0;10;False
2023-01-11;8;100;41;1;11;False
2023-01-12;5;88;56;1;9;False
2023-01-13;8;74;61;2;8;False
2023-01-14;5;60;58;1;7;False
2023-01-15;5;68;62;1;8;False
2023-01-16;10;76;34;1;9;False
2023-01-17;10;79;41;2;7;False
2023-01-18;6;78;37;4;10;False
2023-01-19;9;71;34;2;9;False
2023-01-20;6;72;51;0;7;False
2023-01-21;7;63;71;5;8;False
2023-01-22;8;66;45;2;9;False
2023-01-23;8;76;39;4;9;False
2023-01-24;7;74;39;9;7;False
2023-01-25;7;71;41;2;9;False
2023-01-26;8;74;43;3;9;False
2023-01-27;10;67;55;3;6;False
2023-01-28;6;56;59;6;8;False
2023-01-29;5;70;57;2;8;False
2023-01-30;7;82;55;2;13;False
2023-01-31;9;69;57;9;11;False
