date;census 2021;Morning Star;Usain Bolt;Music streaming;air travel;isPartial
2023-01-01;2;6;7;5;13;False
2023-01-02;3;5;8;0;16;False
2023-01-03;2;4;5;3;10;False
2023-01-04;7;3;3;4;16;False
2023-01-05;7;1;8;2;13;False
2023-01-06;37;6;4;7;13;False
2023-01-07;16;5;7;4;9;False
2023-01-08;9;2;3;5;15;False
2023-01-09;7;5;2;1;9;False
2023-01-10;8;7;4;5;14;False
2023-01-11;6;4;4;5;16;False
2023-01-12;5;2;4;2;13;False
2023-01-13;7;4;10;5;11;False
2023-01-14;5;3;48;2;10;False
2023-01-15;3;6;4;7;12;False
2023-01-16;5;7;12;3;12;False
2023-01-17;4;4;14;4;10;False
2023-01-18;5;2;31;6;14;False
2023-01-19;9;3;100;3;13;False
2023-01-20;4;2;79;6;10;False
2023-01-21;3;5;29;2;11;False
2023-01-22;4;4;13;4;12;False
2023-01-23;7;1;31;2;13;False
2023-01-24;6;2;36;7;10;False
2023-01-25;4;4;15;3;13;False
2023-01-26;5;5;15;4;12;False
2023-01-27;3;2;10;5;8;False
2023-01-28;1;3;19;4;12;False
2023-01-29;3;7;22;4;11;False
2023-01-30;5;5;11;3;18;False
2023-01-31;6;2;8;4;15;False
