date;Drama films;Private healthcare;west bank;Guy Hands;air travel;isPartial
2023-01-01;5;36;41;0;53;False
2023-01-02;6;47;73;7;63;False
2023-01-03;5;71;46;0;41;False
2023-01-04;9;65;55;0;62;False
2023-01-05;13;69;45;4;51;False
2023-01-06;5;46;60;0;51;False
2023-01-07;5;41;46;4;37;False
2023-01-08;0;100;40;0;59;False
2023-01-09;6;97;73;0;35;False
2023-01-10;9;65;60;8;55;False
2023-01-11;0;60;53;0;62;False
2023-01-12;0;65;48;4;52;False
2023-01-13;7;42;55;4;42;False
2023-01-14;9;36;38;10;39;False
2023-01-15;18;40;41;0;46;False
2023-01-16;8;47;63;0;48;False
2023-01-17;9;41;45;0;39;False
2023-01-18;6;32;68;5;56;False
2023-01-19;5;41;41;0;51;False
2023-01-20;8;45;44;0;41;False
2023-01-21;8;33;47;0;44;False
2023-01-22;0;19;38;0;49;False
2023-01-23;7;47;65;7;50;False
2023-01-24;0;41;47;0;38;False
2023-01-25;10;32;68;0;52;False
2023-01-26;10;48;74;0;47;False
2023-01-27;9;45;70;9;33;False
2023-01-28;12;25;51;0;46;False
2023-01-29;0;30;41;0;42;False
2023-01-30;9;40;47;0;70;False
2023-01-31;4;28;27;23;58;False
