date;Tennessee Titans;Fiction in translation;J Sainsbury;Boy George;air travel;isPartial
2023-01-01;6;0;6;52;76;False
2023-01-02;8;0;15;39;90;False
2023-01-03;0;0;6;5;59;False
2023-01-04;0;0;6;32;89;False
2023-01-05;16;0;0;36;73;False
2023-01-06;0;0;14;46;73;False
2023-01-07;6;0;0;63;53;False
2023-01-08;30;0;0;34;84;False
2023-01-09;8;0;0;38;50;False
2023-01-10;10;0;16;32;79;False
2023-01-11;0;0;0;30;90;False
2023-01-12;0;0;12;45;75;False
2023-01-13;0;0;0;44;60;False
2023-01-14;0;0;0;84;56;False
2023-01-15;0;0;0;56;66;False
2023-01-16;0;0;7;22;68;False
2023-01-17;15;0;0;40;56;False
2023-01-18;0;0;10;45;80;False
2023-01-19;13;0;6;35;73;False
2023-01-20;0;0;0;40;59;False
2023-01-21;0;0;0;49;63;False
2023-01-22;0;0;0;47;70;False
2023-01-23;0;0;0;43;72;False
2023-01-24;19;0;16;31;55;False
2023-01-25;5;0;0;43;75;False
2023-01-26;0;0;0;27;68;False
2023-01-27;0;0;0;29;47;False
2023-01-28;0;0;0;41;66;False
2023-01-29;0;0;0;27;60;False
2023-01-30;0;0;0;35;100;False
2023-01-31;0;0;9;10;84;False
