date;atlanta;MMA;Anime;Venice Biennale;air travel;isPartial
2023-01-01;18;14;95;0;5;False
2023-01-02;17;11;99;0;5;False
2023-01-03;18;12;77;0;3;False
2023-01-04;17;13;80;0;5;False
2023-01-05;16;15;77;0;4;False
2023-01-06;13;14;76;0;4;False
2023-01-07;12;14;88;0;3;False
2023-01-08;17;25;100;1;5;False
2023-01-09;16;19;73;1;3;False
2023-01-10;16;15;71;0;5;False
2023-01-11;15;18;65;0;5;False
2023-01-12;14;16;74;0;4;False
2023-01-13;14;12;73;0;4;False
2023-01-14;13;18;89;0;3;False
2023-01-15;14;17;96;0;4;False
2023-01-16;13;14;73;0;4;False
2023-01-17;14;12;61;0;3;False
2023-01-18;14;13;63;1;5;False
2023-01-19;12;15;72;0;4;False
2023-01-20;14;15;77;1;4;False
2023-01-21;15;18;91;2;4;False
2023-01-22;18;24;92;0;4;False
2023-01-23;15;14;66;0;4;False
2023-01-24;12;13;66;0;3;False
2023-01-25;13;13;62;1;4;False
2023-01-26;13;13;65;0;4;False
2023-01-27;12;12;64;0;3;False
2023-01-28;14;14;91;0;4;False
2023-01-29;15;14;92;1;4;False
2023-01-30;13;14;72;0;6;False
2023-01-31;13;14;65;0;5;False
