date;arsenal;Truman Capote;Stage;Academics;air travel;isPartial
2023-01-01;17;0;3;0;0;False
2023-01-02;16;0;3;0;0;False
2023-01-03;44;0;3;0;0;False
2023-01-04;16;0;3;0;0;False
2023-01-05;12;0;3;0;0;False
2023-01-06;12;0;3;0;0;False
2023-01-07;12;0;3;0;0;False
2023-01-08;13;0;3;0;0;False
2023-01-09;39;0;3;0;0;False
2023-01-10;17;0;3;0;0;False
2023-01-11;13;0;3;0;0;False
2023-01-12;14;0;4;0;0;False
2023-01-13;14;0;3;0;0;False
2023-01-14;23;0;3;0;0;False
2023-01-15;77;0;3;0;0;False
2023-01-16;19;0;3;0;0;False
2023-01-17;12;0;3;0;0;False
2023-01-18;15;0;4;0;0;False
2023-01-19;19;0;3;0;0;False
2023-01-20;18;0;3;0;0;False
2023-01-21;19;0;3;0;0;False
2023-01-22;100;0;3;0;0;False
2023-01-23;23;0;4;0;0;False
2023-01-24;15;0;4;0;0;False
2023-01-25;13;0;4;0;0;False
2023-01-26;15;0;3;0;0;False
2023-01-27;52;0;3;0;0;False
2023-01-28;24;0;3;0;0;False
2023-01-29;17;0;3;0;0;False
2023-01-30;17;0;4;0;0;False
2023-01-31;24;0;4;0;0;False
