date;Merrick Garland;Xbox;Royal Mail;Piracy at sea;air travel;isPartial
2023-01-01;0;73;39;0;1;False
2023-01-02;0;67;56;0;2;False
2023-01-03;0;53;100;0;1;False
2023-01-04;0;48;97;0;2;False
2023-01-05;0;47;92;0;1;False
2023-01-06;0;47;85;0;1;False
2023-01-07;0;60;49;0;1;False
2023-01-08;0;61;40;0;1;False
2023-01-09;0;42;76;0;1;False
2023-01-10;0;41;74;0;1;False
2023-01-11;0;39;77;0;2;False
2023-01-12;0;41;79;0;1;False
2023-01-13;0;42;66;0;1;False
2023-01-14;0;55;48;0;1;False
2023-01-15;0;54;38;0;1;False
2023-01-16;0;40;79;0;1;False
2023-01-17;0;38;79;0;1;False
2023-01-18;0;38;88;0;1;False
2023-01-19;0;38;69;0;1;False
2023-01-20;0;45;80;0;1;False
2023-01-21;0;58;46;0;1;False
2023-01-22;0;54;38;0;1;False
2023-01-23;0;40;72;0;1;False
2023-01-24;0;38;74;0;1;False
2023-01-25;0;44;79;0;1;False
2023-01-26;0;41;70;0;1;False
2023-01-27;0;45;62;0;1;False
2023-01-28;0;55;43;0;1;False
2023-01-29;0;55;38;0;1;False
2023-01-30;0;40;75;0;2;False
2023-01-31;0;43;72;0;1;False
