date;paul kelso;University of Manchester;Farm animals;School building programme;air travel;isPartial
2023-01-01;0;35;27;0;50;False
2023-01-02;0;38;17;0;59;False
2023-01-03;4;67;21;0;38;False
2023-01-04;0;90;20;0;58;False
2023-01-05;0;58;13;0;48;False
2023-01-06;0;42;12;0;48;False
2023-01-07;0;29;10;0;35;False
2023-01-08;0;38;16;0;55;False
2023-01-09;0;87;0;0;33;False
2023-01-10;0;89;11;0;52;False
2023-01-11;0;74;19;0;59;False
2023-01-12;0;75;20;0;49;False
2023-01-13;4;59;17;0;39;False
2023-01-14;0;40;14;0;37;False
2023-01-15;0;57;21;3;43;False
2023-01-16;0;82;14;0;45;False
2023-01-17;0;86;7;0;36;False
2023-01-18;4;67;18;0;52;False
2023-01-19;0;95;18;0;48;False
2023-01-20;6;72;23;0;39;False
2023-01-21;0;37;31;0;41;False
2023-01-22;0;56;18;0;46;False
2023-01-23;4;86;19;4;47;False
2023-01-24;0;100;17;0;36;False
2023-01-25;0;79;19;6;49;False
2023-01-26;0;72;17;0;44;False
2023-01-27;0;61;21;0;31;False
2023-01-28;0;48;12;0;43;False
2023-01-29;0;45;12;0;39;False
2023-01-30;0;84;22;0;65;False
2023-01-31;0;90;16;0;55;False
