date;holly willoughby;Huawei;global warming;Nigel Farage;air travel;isPartial
2023-01-01;21;93;5;8;17;False
2023-01-02;23;100;7;11;20;False
2023-01-03;24;95;7;12;13;False
2023-01-04;16;84;12;11;20;False
2023-01-05;13;97;11;12;16;False
2023-01-06;18;82;12;13;17;False
2023-01-07;16;89;4;15;12;False
2023-01-08;27;97;9;8;19;False
2023-01-09;31;90;12;14;11;False
2023-01-10;21;80;13;16;18;False
2023-01-11;22;82;11;11;20;False
2023-01-12;26;82;14;14;17;False
2023-01-13;16;77;12;13;14;False
2023-01-14;52;86;5;8;13;False
2023-01-15;56;88;10;7;15;False
2023-01-16;28;85;14;8;15;False
2023-01-17;22;74;13;14;13;False
2023-01-18;30;83;14;10;18;False
2023-01-19;24;75;11;15;16;False
2023-01-20;16;70;11;9;13;False
2023-01-21;17;89;13;8;14;False
2023-01-22;37;75;8;8;16;False
2023-01-23;35;74;12;12;16;False
2023-01-24;100;79;11;11;12;False
2023-01-25;27;73;15;10;17;False
2023-01-26;29;73;11;7;15;False
2023-01-27;31;82;15;11;11;False
2023-01-28;21;77;6;7;15;False
2023-01-29;27;85;10;8;14;False
2023-01-30;46;72;10;8;23;False
2023-01-31;67;72;12;11;19;False
