date;Ayatollah Ali Khamenei;FKA twigs;Haute couture shows;The Apprentice;air travel;isPartial
2023-01-01;0;1;0;12;4;False
2023-01-02;0;2;0;14;5;False
2023-01-03;0;0;0;34;3;False
2023-01-04;0;1;0;40;5;False
2023-01-05;0;0;0;100;4;False
2023-01-06;0;2;0;58;4;False
2023-01-07;0;1;0;27;3;False
2023-01-08;0;0;0;23;5;False
2023-01-09;1;1;0;18;3;False
2023-01-10;0;0;0;18;4;False
2023-01-11;0;1;0;26;5;False
2023-01-12;0;0;0;91;4;False
2023-01-13;0;1;0;60;3;False
2023-01-14;0;1;0;40;3;False
2023-01-15;0;2;0;22;4;False
2023-01-16;0;0;0;17;4;False
2023-01-17;0;1;0;14;3;False
2023-01-18;0;1;0;16;4;False
2023-01-19;0;1;0;45;4;False
2023-01-20;1;1;0;35;3;False
2023-01-21;0;3;0;21;4;False
2023-01-22;0;1;0;16;4;False
2023-01-23;0;1;0;13;4;False
2023-01-24;0;1;0;12;3;False
2023-01-25;0;1;0;14;4;False
2023-01-26;0;1;0;40;4;False
2023-01-27;0;1;0;32;3;False
2023-01-28;0;1;0;21;4;False
2023-01-29;0;0;0;14;3;False
2023-01-30;0;1;0;11;6;False
2023-01-31;0;2;0;13;5;False
