date;Olympic Games 2012;Astronomy;duchess of sussex;Chanel;air travel;isPartial
2023-01-01;1;6;1;96;9;False
2023-01-02;1;4;2;87;11;False
2023-01-03;0;7;0;84;7;False
2023-01-04;1;7;1;85;11;False
2023-01-05;2;4;2;81;9;False
2023-01-06;1;7;2;82;9;False
2023-01-07;1;6;2;88;6;False
2023-01-08;2;8;3;97;10;False
2023-01-09;0;6;4;78;6;False
2023-01-10;0;7;3;85;9;False
2023-01-11;0;6;3;77;11;False
2023-01-12;0;6;3;76;9;False
2023-01-13;0;4;1;81;7;False
2023-01-14;0;5;3;100;7;False
2023-01-15;0;9;3;90;8;False
2023-01-16;1;8;2;76;8;False
2023-01-17;0;7;2;78;7;False
2023-01-18;0;7;4;71;10;False
2023-01-19;0;6;3;80;9;False
2023-01-20;0;9;2;78;7;False
2023-01-21;0;8;3;100;8;False
2023-01-22;0;7;2;94;8;False
2023-01-23;0;8;3;72;9;False
2023-01-24;0;7;1;77;7;False
2023-01-25;2;7;2;75;9;False
2023-01-26;0;6;3;78;8;False
2023-01-27;0;6;3;76;6;False
2023-01-28;0;4;2;91;8;False
2023-01-29;0;8;2;100;7;False
2023-01-30;1;10;3;79;12;False
2023-01-31;0;7;2;77;10;False
