date;Black Mirror;Tactical voting;US policing;Labour;air travel;isPartial
2023-01-01;23;0;1;66;9;False
2023-01-02;20;0;0;72;11;False
2023-01-03;20;0;0;76;7;False
2023-01-04;18;0;0;86;10;False
2023-01-05;15;0;1;94;9;False
2023-01-06;14;0;0;79;9;False
2023-01-07;23;1;1;70;6;False
2023-01-08;24;0;1;79;10;False
2023-01-09;17;0;0;87;6;False
2023-01-10;16;1;0;90;9;False
2023-01-11;16;0;0;87;11;False
2023-01-12;14;0;1;88;9;False
2023-01-13;15;0;0;77;7;False
2023-01-14;17;1;0;63;7;False
2023-01-15;24;1;1;80;8;False
2023-01-16;19;0;1;88;8;False
2023-01-17;13;1;0;85;7;False
2023-01-18;16;0;0;100;9;False
2023-01-19;16;0;0;88;9;False
2023-01-20;17;0;0;84;7;False
2023-01-21;19;1;0;79;7;False
2023-01-22;26;0;1;74;8;False
2023-01-23;13;0;1;98;8;False
2023-01-24;16;1;0;87;6;False
2023-01-25;16;0;1;86;9;False
2023-01-26;15;0;1;83;8;False
2023-01-27;18;0;1;90;6;False
2023-01-28;18;0;0;67;8;False
2023-01-29;20;0;0;79;7;False
2023-01-30;14;1;0;91;12;False
2023-01-31;17;0;0;97;10;False
