date;Turkish food and drink;Gwen Stefani;UK security and counter-terrorism;Wine;air travel;isPartial
2023-01-01;0;3;0;94;3;False
2023-01-02;0;2;0;85;3;False
2023-01-03;0;1;0;74;2;False
2023-01-04;0;1;0;74;3;False
2023-01-05;0;1;0;81;2;False
2023-01-06;0;1;0;85;2;False
2023-01-07;0;1;0;92;2;False
2023-01-08;0;2;0;83;3;False
2023-01-09;0;1;0;72;2;False
2023-01-10;0;2;0;70;3;False
2023-01-11;0;7;0;71;3;False
2023-01-12;0;3;0;79;2;False
2023-01-13;0;4;0;83;2;False
2023-01-14;0;2;0;95;2;False
2023-01-15;0;1;0;84;2;False
2023-01-16;0;1;0;70;2;False
2023-01-17;0;2;0;70;2;False
2023-01-18;0;1;0;71;3;False
2023-01-19;0;0;0;75;2;False
2023-01-20;0;2;0;86;2;False
2023-01-21;0;4;0;100;2;False
2023-01-22;0;3;0;87;2;False
2023-01-23;0;3;0;71;2;False
2023-01-24;0;3;0;74;2;False
2023-01-25;0;2;0;75;2;False
2023-01-26;0;2;0;75;2;False
2023-01-27;0;1;0;86;2;False
2023-01-28;0;0;0;88;2;False
2023-01-29;0;1;0;81;2;False
2023-01-30;0;1;0;76;3;False
2023-01-31;0;2;0;72;3;False
