date;Andy Murray;Food;Barcelona;Journalism books;air travel;isPartial
2023-01-01;1;91;10;0;1;False
2023-01-02;1;96;10;0;1;False
2023-01-03;3;84;11;0;0;False
2023-01-04;2;94;18;0;1;False
2023-01-05;1;91;13;0;1;False
2023-01-06;0;87;11;0;1;False
2023-01-07;1;91;11;0;0;False
2023-01-08;0;97;24;0;1;False
2023-01-09;1;82;14;0;0;False
2023-01-10;1;87;11;0;1;False
2023-01-11;1;82;11;0;1;False
2023-01-12;1;87;21;0;1;False
2023-01-13;1;86;12;0;1;False
2023-01-14;1;85;12;0;0;False
2023-01-15;1;93;47;0;1;False
2023-01-16;2;83;15;0;1;False
2023-01-17;13;81;11;0;0;False
2023-01-18;5;80;9;0;1;False
2023-01-19;42;86;16;0;1;False
2023-01-20;14;91;12;0;1;False
2023-01-21;37;100;12;0;1;False
2023-01-22;5;96;19;0;1;False
2023-01-23;2;88;11;0;1;False
2023-01-24;1;87;11;0;0;False
2023-01-25;1;86;18;0;1;False
2023-01-26;2;82;12;0;1;False
2023-01-27;1;87;11;0;0;False
2023-01-28;1;92;17;0;1;False
2023-01-29;1;96;13;0;1;False
2023-01-30;1;88;12;0;1;False
2023-01-31;2;86;11;0;1;False
