date;The Gambia;malta v northern ireland;England women's football team;US justice system;air travel;isPartial
2023-01-01;17;0;0;0;76;False
2023-01-02;37;0;0;0;90;False
2023-01-03;37;13;0;0;59;False
2023-01-04;24;0;0;0;89;False
2023-01-05;50;0;0;0;73;False
2023-01-06;13;0;7;0;73;False
2023-01-07;27;0;12;0;53;False
2023-01-08;7;0;13;0;84;False
2023-01-09;19;0;0;0;50;False
2023-01-10;29;0;0;0;79;False
2023-01-11;25;0;5;0;90;False
2023-01-12;12;0;7;0;75;False
2023-01-13;23;0;17;0;60;False
2023-01-14;23;0;0;0;56;False
2023-01-15;27;0;7;0;66;False
2023-01-16;12;0;9;0;68;False
2023-01-17;17;0;0;0;56;False
2023-01-18;18;5;19;0;80;False
2023-01-19;8;0;0;0;73;False
2023-01-20;21;0;0;0;59;False
2023-01-21;18;0;0;9;63;False
2023-01-22;13;0;5;0;70;False
2023-01-23;23;0;8;0;72;False
2023-01-24;33;0;0;0;55;False
2023-01-25;9;0;0;5;75;False
2023-01-26;9;0;12;0;68;False
2023-01-27;15;0;0;0;47;False
2023-01-28;20;0;0;0;66;False
2023-01-29;38;0;0;0;60;False
2023-01-30;26;0;0;0;100;False
2023-01-31;20;0;0;0;84;False
