date;South and central Asia;Real Betis;Marilyn Manson;Chocolate;air travel;isPartial
2023-01-01;0;1;4;85;2;False
2023-01-02;0;0;3;84;3;False
2023-01-03;0;0;1;75;2;False
2023-01-04;0;0;1;84;3;False
2023-01-05;0;2;2;83;2;False
2023-01-06;0;0;1;75;2;False
2023-01-07;0;1;1;87;2;False
2023-01-08;0;2;1;91;3;False
2023-01-09;0;1;1;73;2;False
2023-01-10;0;0;1;75;2;False
2023-01-11;0;2;4;76;3;False
2023-01-12;0;28;3;78;2;False
2023-01-13;0;3;2;81;2;False
2023-01-14;0;0;2;88;2;False
2023-01-15;0;1;2;89;2;False
2023-01-16;0;0;1;78;2;False
2023-01-17;0;1;1;76;2;False
2023-01-18;0;3;1;80;2;False
2023-01-19;0;1;1;81;2;False
2023-01-20;0;0;1;84;2;False
2023-01-21;0;2;1;100;2;False
2023-01-22;0;0;1;95;2;False
2023-01-23;0;0;1;80;2;False
2023-01-24;0;1;1;80;2;False
2023-01-25;0;0;1;85;2;False
2023-01-26;0;0;1;80;2;False
2023-01-27;0;0;1;83;1;False
2023-01-28;0;2;1;91;2;False
2023-01-29;0;1;1;94;2;False
2023-01-30;0;1;2;80;3;False
2023-01-31;0;0;3;84;3;False
