date;Divorce;Espionage;Baftas;Endangered species;air travel;isPartial
2023-01-01;81;1;0;0;12;False
2023-01-02;86;4;1;1;15;False
2023-01-03;89;2;1;4;10;False
2023-01-04;93;3;1;4;14;False
2023-01-05;83;3;1;1;12;False
2023-01-06;82;0;2;2;12;False
2023-01-07;76;3;1;3;9;False
2023-01-08;86;4;6;1;14;False
2023-01-09;100;4;1;3;8;False
2023-01-10;79;3;1;0;13;False
2023-01-11;76;0;2;2;15;False
2023-01-12;79;3;4;3;12;False
2023-01-13;93;3;1;2;10;False
2023-01-14;90;3;2;2;9;False
2023-01-15;84;1;4;2;11;False
2023-01-16;99;2;5;2;11;False
2023-01-17;85;4;3;1;9;False
2023-01-18;83;3;1;3;13;False
2023-01-19;74;5;18;4;12;False
2023-01-20;86;4;8;2;10;False
2023-01-21;69;2;5;2;10;False
2023-01-22;72;1;3;1;11;False
2023-01-23;89;5;3;2;12;False
2023-01-24;81;4;7;2;9;False
2023-01-25;69;3;4;3;12;False
2023-01-26;75;3;3;0;11;False
2023-01-27;82;2;3;2;8;False
2023-01-28;63;2;4;1;11;False
2023-01-29;70;2;5;1;10;False
2023-01-30;100;2;4;3;16;False
2023-01-31;74;2;2;4;14;False
