date;Netherlands;Taika Waititi;transport;Financial Conduct Authority;air travel;isPartial
2023-01-01;27;5;67;0;6;False
2023-01-02;32;2;66;1;7;False
2023-01-03;31;2;88;0;5;False
2023-01-04;33;5;87;1;7;False
2023-01-05;28;8;85;1;6;False
2023-01-06;31;12;76;0;6;False
2023-01-07;24;7;60;0;4;False
2023-01-08;26;5;64;1;7;False
2023-01-09;32;5;99;1;4;False
2023-01-10;32;5;85;1;6;False
2023-01-11;31;4;87;0;7;False
2023-01-12;32;4;95;1;6;False
2023-01-13;29;5;87;1;5;False
2023-01-14;25;5;63;0;5;False
2023-01-15;29;5;62;0;5;False
2023-01-16;34;2;83;0;6;False
2023-01-17;26;2;96;1;4;False
2023-01-18;32;2;88;1;6;False
2023-01-19;32;3;83;0;6;False
2023-01-20;31;3;84;1;5;False
2023-01-21;25;5;67;0;5;False
2023-01-22;23;3;71;0;6;False
2023-01-23;37;4;92;1;6;False
2023-01-24;34;3;100;1;4;False
2023-01-25;32;6;88;1;6;False
2023-01-26;29;3;81;0;5;False
2023-01-27;29;27;84;1;4;False
2023-01-28;20;16;63;0;5;False
2023-01-29;25;12;63;0;5;False
2023-01-30;29;9;84;1;8;False
2023-01-31;30;4;91;1;7;False
