date;Student finance;Rohingya;Lloyds Banking Group;rihanna;air travel;isPartial
2023-01-01;42;0;2;28;10;False
2023-01-02;68;0;1;20;12;False
2023-01-03;100;0;6;21;7;False
2023-01-04;88;1;5;21;11;False
2023-01-05;90;0;4;22;9;False
2023-01-06;87;0;6;23;9;False
2023-01-07;48;1;2;24;7;False
2023-01-08;57;0;2;25;11;False
2023-01-09;93;0;11;24;6;False
2023-01-10;77;0;4;21;10;False
2023-01-11;68;1;6;26;11;False
2023-01-12;75;1;3;22;9;False
2023-01-13;63;1;4;34;8;False
2023-01-14;39;0;1;35;7;False
2023-01-15;40;0;2;28;8;False
2023-01-16;70;0;6;22;9;False
2023-01-17;68;1;4;20;7;False
2023-01-18;73;0;5;18;10;False
2023-01-19;69;1;7;18;9;False
2023-01-20;58;1;5;20;8;False
2023-01-21;40;1;3;27;8;False
2023-01-22;41;1;3;24;9;False
2023-01-23;76;0;5;21;9;False
2023-01-24;75;0;4;25;7;False
2023-01-25;70;1;5;24;10;False
2023-01-26;69;0;3;21;9;False
2023-01-27;58;1;6;24;6;False
2023-01-28;37;0;1;23;8;False
2023-01-29;37;0;3;25;8;False
2023-01-30;70;0;4;21;13;False
2023-01-31;66;1;7;20;11;False
