date;Stroke;Diving;Bret Easton Ellis;Sundance film festival;air travel;isPartial
2023-01-01;100;23;1;0;8;False
2023-01-02;57;20;1;1;10;False
2023-01-03;53;21;1;1;6;False
2023-01-04;56;20;1;0;9;False
2023-01-05;57;22;1;0;8;False
2023-01-06;59;21;1;1;8;False
2023-01-07;50;23;1;1;6;False
2023-01-08;56;25;2;0;9;False
2023-01-09;54;34;2;0;5;False
2023-01-10;56;24;1;0;8;False
2023-01-11;61;20;0;0;10;False
2023-01-12;61;18;0;1;8;False
2023-01-13;64;21;1;0;6;False
2023-01-14;57;23;0;0;6;False
2023-01-15;56;28;1;0;7;False
2023-01-16;63;24;2;0;7;False
2023-01-17;62;23;1;2;6;False
2023-01-18;62;17;2;0;9;False
2023-01-19;56;26;2;1;8;False
2023-01-20;53;22;2;2;6;False
2023-01-21;55;19;0;1;7;False
2023-01-22;46;21;0;1;7;False
2023-01-23;58;22;1;2;8;False
2023-01-24;59;20;1;0;6;False
2023-01-25;60;19;1;2;8;False
2023-01-26;55;17;1;0;7;False
2023-01-27;56;16;0;1;5;False
2023-01-28;48;22;2;2;7;False
2023-01-29;51;24;1;1;6;False
2023-01-30;55;23;2;1;11;False
2023-01-31;62;20;0;1;9;False
