date;Priti Patel;Soup;Oman;Chloe Hooper;air travel;isPartial
2023-01-01;0;76;5;0;3;False
2023-01-02;1;100;4;0;3;False
2023-01-03;0;91;6;0;2;False
2023-01-04;1;80;6;0;3;False
2023-01-05;1;71;5;0;2;False
2023-01-06;0;66;8;0;2;False
2023-01-07;0;80;4;0;2;False
2023-01-08;1;95;6;0;3;False
2023-01-09;0;76;5;0;2;False
2023-01-10;0;72;5;0;3;False
2023-01-11;0;69;4;0;3;False
2023-01-12;0;73;6;0;3;False
2023-01-13;1;56;5;0;2;False
2023-01-14;0;70;5;0;2;False
2023-01-15;0;79;6;0;2;False
2023-01-16;0;83;6;0;2;False
2023-01-17;0;71;6;0;2;False
2023-01-18;0;68;5;0;3;False
2023-01-19;0;62;14;0;2;False
2023-01-20;0;62;5;0;2;False
2023-01-21;0;78;4;0;2;False
2023-01-22;1;86;5;0;2;False
2023-01-23;0;73;6;0;2;False
2023-01-24;0;68;5;0;2;False
2023-01-25;0;64;5;0;3;False
2023-01-26;0;58;5;0;2;False
2023-01-27;0;51;4;0;2;False
2023-01-28;1;64;5;0;2;False
2023-01-29;1;76;5;0;2;False
2023-01-30;0;67;5;0;3;False
2023-01-31;0;63;5;0;3;False
