date;death row;Thomas Hardy;biodiversity;Martin Luther King;air travel;isPartial
2023-01-01;6;2;2;5;12;False
2023-01-02;5;2;4;9;14;False
2023-01-03;9;2;9;7;9;False
2023-01-04;7;4;14;7;14;False
2023-01-05;6;2;11;9;12;False
2023-01-06;4;1;10;11;12;False
2023-01-07;6;3;4;9;8;False
2023-01-08;5;2;9;10;13;False
2023-01-09;5;2;12;13;8;False
2023-01-10;4;5;12;14;13;False
2023-01-11;6;3;9;10;14;False
2023-01-12;6;2;14;17;12;False
2023-01-13;7;2;8;20;9;False
2023-01-14;6;3;6;14;9;False
2023-01-15;2;1;6;24;10;False
2023-01-16;5;2;17;100;11;False
2023-01-17;3;3;12;55;9;False
2023-01-18;1;1;11;23;13;False
2023-01-19;7;2;11;19;12;False
2023-01-20;8;2;10;14;9;False
2023-01-21;2;3;6;9;10;False
2023-01-22;5;3;7;13;11;False
2023-01-23;3;2;15;12;11;False
2023-01-24;6;2;11;9;9;False
2023-01-25;3;5;13;8;12;False
2023-01-26;5;2;12;14;11;False
2023-01-27;6;0;12;8;7;False
2023-01-28;5;2;3;7;10;False
2023-01-29;5;7;8;9;10;False
2023-01-30;8;2;12;11;16;False
2023-01-31;5;1;15;11;13;False
