date;English civil war;West African food and drink;Waste;princess anne;air travel;isPartial
2023-01-01;2;0;70;4;5;False
2023-01-02;1;0;95;4;6;False
2023-01-03;1;0;96;4;4;False
2023-01-04;4;0;100;3;6;False
2023-01-05;1;0;90;4;5;False
2023-01-06;0;0;86;4;5;False
2023-01-07;1;0;59;5;4;False
2023-01-08;1;0;68;4;6;False
2023-01-09;2;0;85;4;3;False
2023-01-10;1;0;83;4;5;False
2023-01-11;2;0;72;6;6;False
2023-01-12;1;0;84;4;5;False
2023-01-13;2;0;66;5;4;False
2023-01-14;1;0;56;25;4;False
2023-01-15;2;0;60;5;4;False
2023-01-16;1;0;80;3;5;False
2023-01-17;1;0;79;3;4;False
2023-01-18;3;0;73;4;5;False
2023-01-19;2;0;68;2;5;False
2023-01-20;1;0;66;3;4;False
2023-01-21;3;0;57;2;4;False
2023-01-22;3;0;61;3;5;False
2023-01-23;2;0;84;3;5;False
2023-01-24;3;0;74;3;4;False
2023-01-25;2;0;81;3;5;False
2023-01-26;3;0;75;3;5;False
2023-01-27;1;0;66;2;3;False
2023-01-28;2;0;49;2;4;False
2023-01-29;2;0;67;2;4;False
2023-01-30;1;0;87;3;7;False
2023-01-31;2;0;83;2;6;False
