date;xbox;Fossil fuels;Jeremy Clarkson;Ethical and green living;air travel;isPartial
2023-01-01;100;0;3;0;2;False
2023-01-02;92;0;7;0;2;False
2023-01-03;73;0;4;0;1;False
2023-01-04;65;0;3;0;2;False
2023-01-05;64;1;3;0;2;False
2023-01-06;64;1;2;0;2;False
2023-01-07;81;0;2;0;1;False
2023-01-08;83;1;12;0;2;False
2023-01-09;58;1;11;0;1;False
2023-01-10;56;1;6;0;2;False
2023-01-11;54;1;3;0;2;False
2023-01-12;55;1;3;0;2;False
2023-01-13;57;1;2;0;1;False
2023-01-14;76;0;3;0;1;False
2023-01-15;73;1;3;0;2;False
2023-01-16;54;2;31;0;2;False
2023-01-17;52;1;36;0;1;False
2023-01-18;52;1;19;0;2;False
2023-01-19;51;1;14;0;2;False
2023-01-20;62;1;12;0;1;False
2023-01-21;80;1;8;0;1;False
2023-01-22;74;1;8;0;2;False
2023-01-23;55;1;8;0;2;False
2023-01-24;51;1;3;0;1;False
2023-01-25;60;1;3;0;2;False
2023-01-26;56;1;3;0;2;False
2023-01-27;61;1;2;0;1;False
2023-01-28;75;0;3;0;2;False
2023-01-29;75;1;10;0;1;False
2023-01-30;54;1;4;0;2;False
2023-01-31;59;1;3;0;2;False
