date;Castres;Pakistan;Climate crisis;Large Hadron Collider;air travel;isPartial
2023-01-01;0;54;0;0;3;False
2023-01-02;1;83;0;0;4;False
2023-01-03;0;80;0;0;3;False
2023-01-04;0;78;0;1;4;False
2023-01-05;0;86;1;0;3;False
2023-01-06;1;97;0;0;3;False
2023-01-07;0;50;0;0;2;False
2023-01-08;0;53;0;0;4;False
2023-01-09;0;97;0;0;2;False
2023-01-10;0;60;0;0;4;False
2023-01-11;0;93;1;0;4;False
2023-01-12;0;62;1;0;3;False
2023-01-13;0;100;0;0;3;False
2023-01-14;0;53;0;0;3;False
2023-01-15;2;51;0;1;3;False
2023-01-16;1;57;1;0;3;False
2023-01-17;0;48;0;1;3;False
2023-01-18;1;50;0;0;4;False
2023-01-19;0;51;0;0;3;False
2023-01-20;1;52;0;0;3;False
2023-01-21;4;56;1;0;3;False
2023-01-22;0;53;0;0;3;False
2023-01-23;1;63;0;0;3;False
2023-01-24;0;65;0;0;2;False
2023-01-25;0;57;2;0;3;False
2023-01-26;0;80;1;0;3;False
2023-01-27;0;83;1;0;2;False
2023-01-28;0;76;0;0;3;False
2023-01-29;0;75;0;0;3;False
2023-01-30;0;82;1;1;5;False
2023-01-31;0;76;1;0;4;False
