date;Parks and green spaces;yevgeny prigozhin;Dua Lipa;Science fiction and fantasy films;air travel;isPartial
2023-01-01;0;3;69;0;28;False
2023-01-02;0;0;35;0;33;False
2023-01-03;0;0;46;0;21;False
2023-01-04;0;0;45;0;32;False
2023-01-05;0;3;40;0;26;False
2023-01-06;7;3;43;0;27;False
2023-01-07;5;2;37;0;19;False
2023-01-08;0;3;45;0;31;False
2023-01-09;0;0;36;0;18;False
2023-01-10;0;2;41;0;29;False
2023-01-11;3;14;38;0;32;False
2023-01-12;0;4;36;0;27;False
2023-01-13;5;5;42;0;22;False
2023-01-14;0;0;100;0;20;False
2023-01-15;0;0;61;0;24;False
2023-01-16;4;3;29;0;25;False
2023-01-17;0;0;36;0;20;False
2023-01-18;2;5;33;0;29;False
2023-01-19;0;2;40;0;26;False
2023-01-20;0;0;40;0;21;False
2023-01-21;6;4;40;0;23;False
2023-01-22;0;0;30;0;25;False
2023-01-23;0;0;34;0;26;False
2023-01-24;0;5;29;0;20;False
2023-01-25;0;3;28;0;27;False
2023-01-26;0;3;35;0;25;False
2023-01-27;2;0;44;0;17;False
2023-01-28;0;3;32;0;24;False
2023-01-29;0;0;39;0;22;False
2023-01-30;0;0;33;0;36;False
2023-01-31;0;0;23;0;30;False
