date;Equality and Human Rights Commission (EHRC);Turkey;Recep Tayyip Erdoğan;Jerome Powell;air travel;isPartial
2022-01-01;0;97;0;0;2;False
2022-01-02;0;90;0;0;4;False
2022-01-03;0;76;0;0;3;False
2022-01-04;0;72;0;0;3;False
2022-01-05;0;74;0;0;4;False
2022-01-06;0;73;0;0;3;False
2022-01-07;0;66;0;0;4;False
2022-01-08;0;81;0;0;4;False
2022-01-09;0;94;0;1;3;False
2022-01-10;0;77;0;0;6;False
2022-01-11;0;81;0;1;4;False
2022-01-12;0;71;0;1;4;False
2022-01-13;0;73;0;0;6;False
2022-01-14;0;61;0;0;5;False
2022-01-15;0;86;0;1;4;False
2022-01-16;0;100;0;0;4;False
2022-01-17;0;77;0;0;4;False
2022-01-18;0;74;0;0;3;False
2022-01-19;0;72;0;0;4;False
2022-01-20;0;69;0;0;3;False
2022-01-21;0;66;0;0;2;False
2022-01-22;0;80;0;0;3;False
2022-01-23;0;89;0;0;4;False
2022-01-24;0;91;0;0;6;False
2022-01-25;0;81;0;0;3;False
2022-01-26;0;76;0;2;4;False
2022-01-27;0;70;0;1;4;False
2022-01-28;0;68;0;0;3;False
2022-01-29;0;78;0;0;3;False
2022-01-30;0;84;0;0;4;False
2022-01-31;0;72;0;0;5;False
