date;san francisco;bobbi-anne mcleod;morrissey;fifa;air travel;isPartial
2022-01-01;9;0;2;89;1;False
2022-01-02;9;0;2;98;3;False
2022-01-03;8;0;1;88;2;False
2022-01-04;7;0;1;80;2;False
2022-01-05;7;0;3;80;3;False
2022-01-06;7;0;2;77;3;False
2022-01-07;8;0;2;79;3;False
2022-01-08;8;0;1;98;3;False
2022-01-09;9;0;2;100;2;False
2022-01-10;9;0;1;96;4;False
2022-01-11;8;0;2;81;3;False
2022-01-12;8;0;4;78;3;False
2022-01-13;7;1;2;85;4;False
2022-01-14;7;0;3;76;4;False
2022-01-15;11;0;2;95;3;False
2022-01-16;11;0;2;96;3;False
2022-01-17;10;0;1;84;3;False
2022-01-18;8;0;10;76;3;False
2022-01-19;7;0;5;70;3;False
2022-01-20;9;0;2;81;2;False
2022-01-21;8;0;1;95;2;False
2022-01-22;9;0;3;92;2;False
2022-01-23;14;0;7;87;3;False
2022-01-24;12;0;2;98;4;False
2022-01-25;9;0;2;69;2;False
2022-01-26;8;0;6;74;3;False
2022-01-27;7;0;4;74;3;False
2022-01-28;8;0;3;81;2;False
2022-01-29;8;0;4;92;3;False
2022-01-30;11;0;3;93;3;False
2022-01-31;9;0;3;82;4;False
