date;wrexham fc;south dakota;brussels;harry dunn;air travel;isPartial
2022-01-01;39;3;60;0;13;False
2022-01-02;78;8;49;0;27;False
2022-01-03;33;0;48;0;26;False
2022-01-04;35;0;52;0;28;False
2022-01-05;18;0;63;0;35;False
2022-01-06;26;6;48;0;28;False
2022-01-07;17;0;47;0;31;False
2022-01-08;36;4;58;0;30;False
2022-01-09;23;11;45;0;22;False
2022-01-10;24;4;65;0;38;False
2022-01-11;24;3;51;6;31;False
2022-01-12;18;6;53;0;36;False
2022-01-13;16;6;70;10;36;False
2022-01-14;27;4;43;8;37;False
2022-01-15;71;9;55;9;30;False
2022-01-16;29;3;76;4;35;False
2022-01-17;30;0;70;2;25;False
2022-01-18;18;4;40;0;27;False
2022-01-19;20;0;41;0;36;False
2022-01-20;24;5;38;3;16;False
2022-01-21;19;7;52;2;11;False
2022-01-22;55;0;39;9;30;False
2022-01-23;25;10;63;0;33;False
2022-01-24;46;6;90;0;36;False
2022-01-25;72;2;52;0;21;False
2022-01-26;55;3;46;8;28;False
2022-01-27;34;0;42;4;23;False
2022-01-28;37;4;47;2;21;False
2022-01-29;100;9;50;0;23;False
2022-01-30;22;4;51;4;28;False
2022-01-31;58;6;56;3;37;False
