date;Michael Kiwanuka;Little Simz;Los Angeles;Tourism (Australia);air travel;isPartial
2022-01-01;2;6;78;2;11;False
2022-01-02;3;7;99;0;20;False
2022-01-03;2;0;96;0;17;False
2022-01-04;3;2;72;0;17;False
2022-01-05;6;7;71;2;25;False
2022-01-06;2;0;66;3;20;False
2022-01-07;3;5;69;0;20;False
2022-01-08;2;6;87;0;23;False
2022-01-09;3;0;89;0;18;False
2022-01-10;0;3;81;0;31;False
2022-01-11;7;0;78;1;25;False
2022-01-12;0;0;76;2;22;False
2022-01-13;0;2;84;0;32;False
2022-01-14;0;3;79;0;27;False
2022-01-15;5;0;97;2;21;False
2022-01-16;2;0;99;0;23;False
2022-01-17;2;3;85;0;21;False
2022-01-18;4;0;78;0;19;False
2022-01-19;5;5;66;0;24;False
2022-01-20;3;2;63;2;17;False
2022-01-21;3;4;71;0;12;False
2022-01-22;2;8;78;0;17;False
2022-01-23;4;3;100;0;22;False
2022-01-24;4;5;87;0;31;False
2022-01-25;0;2;73;0;16;False
2022-01-26;2;3;71;3;21;False
2022-01-27;2;1;71;0;23;False
2022-01-28;4;9;75;2;16;False
2022-01-29;5;0;74;0;19;False
2022-01-30;6;5;79;0;23;False
2022-01-31;0;2;86;0;27;False
