date;Matt Berry;Emissions trading;The Wombats;First world war;air travel;isPartial
2022-01-01;24;0;34;22;27;False
2022-01-02;28;0;11;40;50;False
2022-01-03;33;14;12;26;41;False
2022-01-04;46;0;0;17;43;False
2022-01-05;93;0;17;39;62;False
2022-01-06;90;4;21;42;49;False
2022-01-07;74;0;22;34;51;False
2022-01-08;100;0;20;39;57;False
2022-01-09;57;0;14;43;44;False
2022-01-10;27;0;13;29;78;False
2022-01-11;41;5;20;18;63;False
2022-01-12;67;0;26;27;54;False
2022-01-13;63;0;10;39;80;False
2022-01-14;53;0;14;32;67;False
2022-01-15;50;0;31;37;53;False
2022-01-16;46;0;13;53;58;False
2022-01-17;33;0;22;46;52;False
2022-01-18;29;4;6;25;47;False
2022-01-19;42;0;7;39;60;False
2022-01-20;33;0;12;22;43;False
2022-01-21;53;0;0;30;30;False
2022-01-22;42;5;13;50;43;False
2022-01-23;34;0;6;47;55;False
2022-01-24;30;5;10;45;78;False
2022-01-25;28;6;18;20;40;False
2022-01-26;36;0;9;28;51;False
2022-01-27;41;6;30;21;57;False
2022-01-28;29;3;16;28;40;False
2022-01-29;26;0;6;44;48;False
2022-01-30;15;0;13;42;57;False
2022-01-31;19;0;13;32;66;False
