date;UK city of culture;Abortion;Women's hair;Banksy;air travel;isPartial
2022-01-01;0;60;11;27;13;False
2022-01-02;0;70;13;34;24;False
2022-01-03;0;79;8;38;20;False
2022-01-04;2;77;9;42;21;False
2022-01-05;0;73;8;35;30;False
2022-01-06;0;100;7;28;23;False
2022-01-07;2;70;5;28;24;False
2022-01-08;0;72;11;32;27;False
2022-01-09;0;73;6;29;21;False
2022-01-10;0;90;10;32;37;False
2022-01-11;0;78;6;28;30;False
2022-01-12;0;71;6;26;26;False
2022-01-13;0;72;2;20;38;False
2022-01-14;0;85;7;28;32;False
2022-01-15;0;79;10;30;25;False
2022-01-16;5;94;15;47;28;False
2022-01-17;0;95;12;43;25;False
2022-01-18;3;82;10;38;23;False
2022-01-19;0;68;17;28;29;False
2022-01-20;0;85;8;37;21;False
2022-01-21;0;69;8;39;15;False
2022-01-22;0;74;10;37;20;False
2022-01-23;0;80;13;52;26;False
2022-01-24;0;94;11;39;37;False
2022-01-25;0;75;9;32;19;False
2022-01-26;0;70;7;25;25;False
2022-01-27;4;77;10;51;27;False
2022-01-28;0;69;8;41;19;False
2022-01-29;0;67;9;46;23;False
2022-01-30;3;75;10;29;27;False
2022-01-31;3;74;7;28;32;False
