date;Australia;Bon Iver;India;Cycling holidays;air travel;isPartial
2022-01-01;56;1;61;1;1;False
2022-01-02;61;1;64;0;2;False
2022-01-03;56;1;75;0;2;False
2022-01-04;61;1;80;0;2;False
2022-01-05;77;0;78;0;3;False
2022-01-06;74;0;77;0;2;False
2022-01-07;76;1;63;0;2;False
2022-01-08;83;0;65;0;2;False
2022-01-09;88;1;63;0;2;False
2022-01-10;66;1;64;0;3;False
2022-01-11;57;1;71;0;3;False
2022-01-12;58;0;70;0;2;False
2022-01-13;63;0;88;0;3;False
2022-01-14;76;1;71;0;3;False
2022-01-15;86;0;64;1;2;False
2022-01-16;100;0;70;0;2;False
2022-01-17;61;0;61;0;2;False
2022-01-18;59;0;58;0;2;False
2022-01-19;53;0;70;1;2;False
2022-01-20;58;0;62;0;2;False
2022-01-21;52;1;75;0;1;False
2022-01-22;56;1;64;0;2;False
2022-01-23;57;0;79;0;2;False
2022-01-24;58;0;69;0;3;False
2022-01-25;54;0;60;1;2;False
2022-01-26;63;0;67;0;2;False
2022-01-27;60;0;59;0;2;False
2022-01-28;54;1;61;0;2;False
2022-01-29;58;0;70;0;2;False
2022-01-30;71;0;59;0;2;False
2022-01-31;50;1;63;0;3;False
