date;John Bercow;Commons Speaker;Atheism;Ethics;air travel;isPartial
2022-01-01;6;4;7;27;17;False
2022-01-02;3;0;0;50;31;False
2022-01-03;5;0;2;62;26;False
2022-01-04;3;0;4;72;27;False
2022-01-05;0;0;0;78;38;False
2022-01-06;4;0;0;81;31;False
2022-01-07;0;2;0;67;32;False
2022-01-08;3;0;3;50;36;False
2022-01-09;0;3;5;72;28;False
2022-01-10;2;7;4;85;48;False
2022-01-11;6;4;2;100;39;False
2022-01-12;6;12;3;89;34;False
2022-01-13;11;4;3;99;50;False
2022-01-14;8;6;0;65;42;False
2022-01-15;16;0;0;44;33;False
2022-01-16;22;4;0;61;36;False
2022-01-17;21;0;0;70;32;False
2022-01-18;6;4;4;90;29;False
2022-01-19;13;13;3;88;37;False
2022-01-20;4;4;12;68;27;False
2022-01-21;8;6;0;66;19;False
2022-01-22;9;0;4;44;27;False
2022-01-23;5;2;3;60;34;False
2022-01-24;0;0;3;99;49;False
2022-01-25;0;0;0;87;25;False
2022-01-26;0;14;6;92;32;False
2022-01-27;6;0;9;76;36;False
2022-01-28;4;5;4;63;25;False
2022-01-29;5;2;4;40;30;False
2022-01-30;8;12;0;40;36;False
2022-01-31;0;23;0;90;41;False
